MUNIC_RES	DIAG_PRINC	QTD
230560	A90	53
230560	A91	2
230560	B368	1
230560	B572	1
230565	A90	26
230565	B550	1
230570	A90	7
230580	A300	1
230580	A820	1
230580	A90	2
230580	B550	1
230580	B559	2
230580	B573	1
230590	B550	3
230590	B552	1
230590	B659	1
230610	A279	1
230610	A90	2
230625	A270	1
230625	A302	1
230625	A309	1
230625	A90	4
230625	B550	1
230625	B551	1
230630	A309	1
230630	A90	9
230630	B368	1
230630	B479	2
230630	B552	1
230630	B559	1
230640	A300	1
230640	A90	152
230640	A91	1
230640	B550	1
230640	B551	1
230640	B552	1
230640	B770	1
230650	A90	16
230650	A91	1
230650	B690	1
230655	B370	1
230655	B559	1
230660	A90	1
230670	A300	1
230670	B550	1
230690	A270	2
230690	A90	14
230700	A90	4
230700	B550	1
230710	A90	4
230710	B551	1
230710	B552	1
230710	B573	1
230720	A90	13
230720	B550	1
230730	A305	1
230730	A308	1
230730	A90	190
230730	A91	9
230730	B550	15
230730	B551	3
230730	B571	1
230740	A309	1
230740	A90	9
230750	A90	34
230750	B460	8
230750	B550	1
230760	A309	1
230760	A90	7
230763	A90	1
230763	B571	1
230765	A308	1
230765	A90	17
230765	A91	7
230765	B550	13
230765	B551	3
230765	B552	1
230765	B559	4
230765	B659	1
230765	B690	1
230770	A90	6
230770	B368	1
230770	B550	3
230770	B552	1
230770	B690	2
230790	B559	3
230790	B690	2
230800	A90	28
230800	A91	6
230800	B369	1
230800	B559	5
230810	A90	80
230810	B460	6
230810	B550	7
230820	A309	1
230820	A90	1
230820	B369	1
230830	A90	20
230830	B550	2
230837	A90	4
230837	B550	1
230840	A90	449
230840	B550	3
230840	B551	3
230850	A300	1
230850	A90	67
230850	A91	19
230850	B350	6
230850	B354	1
230850	B550	1
230860	A90	13
230860	B559	1
230870	A308	1
230870	B690	1
230890	B550	1
230900	B559	1
230920	A90	57
230920	A91	1
230920	B368	1
230920	B550	1
230920	B690	1
230930	B559	2
230940	A90	215
230940	A91	1
230945	A90	3
230950	A90	101
230950	A91	1
230950	B460	5
230950	B551	1
230960	A309	1
230960	A90	8
230960	B550	2
230960	B690	1
230970	A300	1
230970	A90	49
230970	A91	1
230970	B550	1
230970	B559	1
230970	B690	1
230980	A278	4
230980	A90	1
231000	A90	1
231020	B479	1
